ENSEMBL,SYMBOL,ENTREZID,biotype,geneloc,fc,P.Value,adj.P.Val,t
ENSG00000177575,CD163,9332,protein_coding,chr12:7623409-7656489,-5.146483121,7.08E-105,1.47E-100,-32.20790326
ENSG00000163145,C1QTNF7,114905,protein_coding,chr4:15341442-15447790,3.604856626,2.60E-98,2.71E-94,30.32315138
ENSG00000129009,ISLR,3671,protein_coding,chr15:74466012-74469213,3.575523226,1.79E-96,1.24E-92,29.80521061
ENSG00000164946,FREM1,158326,protein_coding,chr9:14734664-14910993,3.661425396,9.30E-96,4.83E-92,29.6049979
ENSG00000103415,HMOX2,3163,protein_coding,chr16:4524691-4560348,-1.970658108,2.56E-95,1.06E-91,-29.48224894
ENSG00000136436,CALCOCO2,10241,protein_coding,chr17:46908350-46943884,-1.666933417,1.49E-93,5.15E-90,-28.99112792
ENSG00000155659,VSIG4,11326,protein_coding,chrX:65241580-65259967,-3.732674471,3.11E-93,9.09E-90,-28.90237794
ENSG00000130592,LSP1,4046,protein_coding,chr11:1874200-1913497,3.376289127,3.50E-93,9.09E-90,28.88814844
ENSG00000145861,C1QTNF2,114898,protein_coding,chr5:159774758-159797648,3.367698106,6.31E-93,1.46E-89,28.81742814
ENSG00000138356,AOX1,316,protein_coding,chr2:201450591-201541787,-5.887459334,5.16E-92,1.07E-88,-28.56539793
ENSG00000162998,FRZB,2487,protein_coding,chr2:183698002-183731890,4.923614483,3.15E-90,5.96E-87,28.07517293
ENSG00000106483,SFRP4,6424,protein_coding,chr7:37945543-38065297,13.16499497,2.60E-88,4.51E-85,27.55274214
ENSG00000179954,SSC5D,284297,protein_coding,chr19:55999771-56030465,4.10765777,3.43E-88,5.48E-85,27.52027766
ENSG00000166033,HTRA1,5654,protein_coding,chr10:124221041-124274424,2.031549521,7.51E-88,1.11E-84,27.42793387
ENSG00000133687,TMTC1,83857,protein_coding,chr12:29653773-29937692,-2.367920483,3.23E-86,4.48E-83,-26.98647786
ENSG00000105835,NAMPT,10135,protein_coding,chr7:105888731-105926772,-2.129077151,7.43E-86,9.65E-83,-26.88908397
ENSG00000112562,SMOC2,64094,protein_coding,chr6:168841831-169073984,3.678574343,1.41E-85,1.73E-82,26.81388996
ENSG00000129116,PALLD,23022,protein_coding,chr4:169418217-169849608,-2.101567296,3.78E-85,4.36E-82,-26.69932272
ENSG00000138735,PDE5A,8654,protein_coding,chr4:120415550-120550146,2.294883729,1.95E-84,2.13E-81,26.50837259
ENSG00000168056,LTBP3,4054,protein_coding,chr11:65306276-65326401,1.844585439,4.50E-84,4.68E-81,26.41107676
ENSG00000110492,MDK,4192,protein_coding,chr11:46402306-46405375,4.169943559,2.49E-83,2.46E-80,26.21297121
ENSG00000084636,COL16A1,1307,protein_coding,chr1:32117848-32169920,2.872197681,1.57E-82,1.48E-79,26.00007835
ENSG00000169604,ANTXR1,84168,protein_coding,chr2:69240310-69476459,2.001268881,2.24E-82,2.02E-79,25.95884848
ENSG00000166482,MFAP4,4239,protein_coding,chr17:19286755-19290553,3.316584383,2.33E-81,2.02E-78,25.68904296
ENSG00000090006,LTBP4,8425,protein_coding,chr19:41098789-41135725,2.291791731,4.91E-81,4.08E-78,25.60336125
ENSG00000173744,AGFG1,3267,protein_coding,chr2:228336868-228425930,-1.398989851,8.51E-81,6.80E-78,-25.540232
ENSG00000164694,FNDC1,84624,protein_coding,chr6:159590429-159693141,8.159298583,1.02E-80,7.83E-78,25.51969593
ENSG00000106823,ECM2,1842,protein_coding,chr9:95256365-95298937,2.469003962,1.34E-80,9.93E-78,25.48830933
ENSG00000075413,MARK3,4140,protein_coding,chr14:103851729-103970168,-1.872425512,2.58E-80,1.85E-77,-25.41314351
ENSG00000162882,HAAO,23498,protein_coding,chr2:42994229-43019733,2.788797178,4.13E-80,2.77E-77,25.35912065
ENSG00000129450,SIGLEC9,27180,protein_coding,chr19:51628165-51639908,-3.107753736,3.62E-80,2.51E-77,-25.37424938
ENSG00000168077,SCARA3,51435,protein_coding,chr8:27491385-27534293,2.791180353,1.04E-79,6.76E-77,25.25330339
ENSG00000213694,S1PR3,1903,protein_coding,chr9:91606362-91619925,-2.565379125,1.72E-79,1.08E-76,-25.19587704
ENSG00000139410,SDSL,113675,protein_coding,chr12:113860042-113876081,2.866854821,2.68E-79,1.64E-76,25.14526933
ENSG00000139329,LUM,4060,protein_coding,chr12:91496406-91505608,4.140903042,4.29E-79,2.55E-76,25.09150624
ENSG00000182179,UBA7,7318,protein_coding,chr3:49842640-49851379,1.846809388,4.80E-79,2.77E-76,25.07872311
ENSG00000011028,MRC2,9902,protein_coding,chr17:60704762-60770958,2.469727651,4.37E-78,2.46E-75,24.82684636
ENSG00000106819,ASPN,54829,protein_coding,chr9:95218487-95244788,4.779154966,6.85E-78,3.75E-75,24.77576501
ENSG00000078747,ITCH,83737,protein_coding,chr20:32951041-33099198,-1.354006665,1.11E-77,5.94E-75,-24.72048757
ENSG00000072840,EVC,2121,protein_coding,chr4:5712924-5830772,1.85369903,1.10E-76,5.56E-74,24.46107676
ENSG00000183801,OLFML1,283298,protein_coding,chr11:7506619-7532608,2.331913842,2.63E-76,1.30E-73,24.3621699
